Proportion_SingHits,Proportion_SingFA,Proportion_AloudHits,Proportion_AloudFA,Proportion_SilentHits,Proportion_SilentFA
0.45,0.275,0.5,0.219512195,0.317073171,0.146341463
0.744186047,0.340909091,0.720930233,0.268292683,0.659090909,0.333333333
0.441860465,0.1,0.692307692,0.075,0.125,0.1
0.575,0.128205128,0.6,0.268292683,0.195121951,0.15
0.384615385,0.075,0.4,0.075,0.25,0.025
0.475,0.075,0.595238095,0.05,0.179487179,0
0.425,0,0.302325581,0.048780488,0.25,0.048780488
0.581395349,0.170731707,0.317073171,0.261904762,0.5,0.125
0.725,0.4,0.625,0.475,0.725,0.4
0.487179487,0.108108108,0.263157895,0.052631579,0.216216216,0.275
0.775,0.1,0.85,0.12195122,0.425,0.175
0.75,0.025,0.829268293,0.025,0.5,0.1
0.825,0,0.85,0.025,0.452380952,0.076923077
0.55,0.179487179,0.55,0.225,0.153846154,0.097560976
0.604651163,0.024390244,0.488372093,0,0.333333333,0
0.717948718,0.05,0.536585366,0.051282051,0.170731707,0.1
0.523809524,0.102564103,0.575,0.097560976,0.157894737,0
0.476190476,0.125,0.333333333,0.195121951,0.1,0.025
0.7,0.05,0.325,0.025,0.35,0.076923077
0.585365854,0.05,0.5,0.025641026,0.3,0.125
0.575,0.025,0.609756098,0,0.325,0.075
0.825,0.348837209,0.512195122,0.146341463,0.536585366,0.166666667
0.7,0.275,0.488372093,0.12195122,0.19047619,0.05
0.825,0.146341463,0.813953488,0.1,0.675,0.19047619
0.7,0.2,0.625,0.35,0.475,0.375
0.268292683,0,0.175,0.025,0.12195122,0
0.7,0.15,0.925,0.261904762,0.609756098,0.166666667
0.731707317,0.146341463,0.725,0.3,0.43902439,0.414634146
0.7,0.3,0.725,0.175,0.45,0.325
0.731707317,0.268292683,0.692307692,0.35,0.538461538,0.225
0.609756098,0.3,0.7,0.325,0.477272727,0.23255814
0.634146341,0.073170732,0.704545455,0.095238095,0.558139535,0.30952381
0.525,0.12195122,0.325,0.125,0.175,0.05
0.75,0.075,0.761904762,0.2,0.487804878,0.15
0.7,0.05,0.547619048,0.075,0.571428571,0.256410256
0.525,0.195121951,0.375,0.153846154,0.375,0.230769231
0.512195122,0,0.219512195,0.075,0.125,0.05
0.56097561,0.219512195,0.536585366,0.05,0.55,0.225
0.675,0.205128205,0.348837209,0.166666667,0.35,0.19047619
0.609756098,0.195121951,0.575,0.102564103,0.475,0.2
0.675,0.307692308,0.682926829,0.225,0.575,0.5
0.675,0.119047619,0.682926829,0.4,0.317073171,0.12195122
0.688888889,0,0.619047619,0.047619048,0.333333333,0.073170732
