Proportion_SingHits,Proportion_SingFA,Proportion_AloudHits,Proportion_AloudFA,Proportion_SilentHits,Proportion_SilentFA
0.575,0.15,0.463414634,0.075,0.2,0.025
0.523809524,0.1,0.6,0.175,0.375,0.05
0.7,0.1,0.7,0.35,0.55,0.05
0.441860465,0,0.418604651,0,0.285714286,0
0.875,0.25,0.6,0.275,0.475,0.125
0.725,0.15,0.585365854,0.170731707,0.372093023,0.12195122
0.738095238,0.390243902,0.692307692,0.4,0.675,0.219512195
0.744186047,0.525,0.5,0.43902439,0.666666667,0.512195122
0.525,0.2,0.45,0.25,0.375,0.25
0.875,0.25,0.875,0.325,0.85,0.4
0.692307692,0.15,0.536585366,0.1,0.205128205,0.075
0.487804878,0.025,0.225,0.075,0.15,0.048780488
0.658536585,0.275,0.65,0.375,0.5,0.3
0.571428571,0.15,0.525,0.1,0.333333333,0.076923077
0.738095238,0.268292683,0.675,0.292682927,0.363636364,0.292682927
0.692307692,0.15,0.536585366,0.1,0.205128205,0.075
0.487804878,0.025,0.225,0.075,0.15,0.048780488
0.658536585,0.275,0.65,0.375,0.5,0.3
0.571428571,0.15,0.525,0.1,0.333333333,0.076923077
0.738095238,0.268292683,0.675,0.292682927,0.363636364,0.292682927
